"path","exists","size_bytes","sha256","evidence_label","paper_use","notes","local_exists","local_size_bytes","local_sha256","local_path"
"docs/paper/PAPER_STAGE5B_RESULT_AUDIT_AND_TABLES.md","False","","","PROJECT_SUPPORTED","stage5b_audit_doc_required","SERVER_ROOT_UNREACHABLE; required by Stage 6A/6B docs; absent in local mirror before sync","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\docs\paper\PAPER_STAGE5B_RESULT_AUDIT_AND_TABLES.md"
"results/paper_stage2/rml2016a/aggregate","False","","","PROJECT_SUPPORTED","aggregate_directory_required","SERVER_ROOT_UNREACHABLE; directory wildcard requested: aggregate/*","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate"
"results/paper_stage2/rml2016a/aggregate/main_table_metrics.csv","False","","","PROJECT_SUPPORTED","paper_table_source","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\main_table_metrics.csv"
"results/paper_stage2/rml2016a/aggregate/main_table_metrics.md","False","","","PROJECT_SUPPORTED","paper_table_source","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\main_table_metrics.md"
"results/paper_stage2/rml2016a/aggregate/low_snr_table.csv","False","","","PROJECT_SUPPORTED","paper_table_source","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\low_snr_table.csv"
"results/paper_stage2/rml2016a/aggregate/complexity_latency_table.csv","False","","","CONTROLLED_LATENCY","complexity_latency_table","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\complexity_latency_table.csv"
"results/paper_stage2/rml2016a/aggregate/main_table_mean_std.csv","False","","","PROJECT_SUPPORTED","paper_table_source","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\main_table_mean_std.csv"
"results/paper_stage2/rml2016a/aggregate/per_snr_mean_std.csv","False","","","PROJECT_SUPPORTED","paper_table_source","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\per_snr_mean_std.csv"
"results/paper_stage2/rml2016a/aggregate/significance_tests.json","False","","","PROJECT_SUPPORTED","statistical_tests_required","SERVER_ROOT_UNREACHABLE; expected aggregate artifact; do not regenerate in this audit","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\aggregate\significance_tests.json"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static","False","","","SMOKE TEST","diagnostic_directory_only","SERVER_ROOT_UNREACHABLE; directory wildcard requested: fusion_iq_amp_phase_static/*; excluded from Stage 5A/5B tables","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/config_resolved.yaml","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\config_resolved.yaml"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/metrics_test.json","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\metrics_test.json"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/metrics_per_snr.csv","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\metrics_per_snr.csv"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/metrics_per_class.csv","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\metrics_per_class.csv"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/predictions_test.csv","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\predictions_test.csv"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/confusion_overall.csv","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\confusion_overall.csv"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/confusion_low_snr.csv","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\confusion_low_snr.csv"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/complexity.json","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\complexity.json"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/latency.json","False","","","SMOKE TEST","diagnostic_placeholder_latency_not_controlled","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\latency.json"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/training_summary.json","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\training_summary.json"
"results/paper_stage6/diagnostic/stage6b/fusion_iq_amp_phase_static/20260508_093001_fusion_iq_amp_phase/split_summary.json","False","","","SMOKE TEST","diagnostic_only","SERVER_ROOT_UNREACHABLE; mock smoke artifact expected from Stage 6B docs; never main-table evidence","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage6\diagnostic\stage6b\fusion_iq_amp_phase_static\20260508_093001_fusion_iq_amp_phase\split_summary.json"
"results/paper_stage2/rml2016a/stage5a_status.json","False","","","PROJECT_SUPPORTED","stage5a_run_index","SERVER_ROOT_UNREACHABLE; indexes 27 Stage 5A runs and required artifacts","True","54521","cb6000025346f5d69dd6b500c75808f89d9f062bbbb3114380f92bb208817054","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\stage5a_status.json"
"data/splits/rml2016a/stratified_by_mod_snr_seed42.npz","False","","","PROJECT_SUPPORTED","fixed_split_artifact","SERVER_ROOT_UNREACHABLE; fixed split payload","True","676390","e86805a80fd9315d59a483a28f9b113903caf65d86fbf0632c75e8b543f05c63","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\data\splits\rml2016a\stratified_by_mod_snr_seed42.npz"
"data/splits/rml2016a/stratified_by_mod_snr_seed42_summary.json","False","","","PROJECT_SUPPORTED","fixed_split_summary","SERVER_ROOT_UNREACHABLE; fixed split summary","True","27587","995078afe5bc04ba4a623a50ae06eef058c685f6343a67808a6f9879c647377b","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\data\splits\rml2016a\stratified_by_mod_snr_seed42_summary.json"
"results/paper_stage2/rml2016a/cnn1d/seed_42/config_resolved.yaml","False","","","PROJECT_SUPPORTED","run_reproducibility","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\config_resolved.yaml"
"results/paper_stage2/rml2016a/cnn1d/seed_42/metrics_test.json","False","","","PROJECT_SUPPORTED","main_metric_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\metrics_test.json"
"results/paper_stage2/rml2016a/cnn1d/seed_42/metrics_per_snr.csv","False","","","PROJECT_SUPPORTED","per_snr_curve_table_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\metrics_per_snr.csv"
"results/paper_stage2/rml2016a/cnn1d/seed_42/metrics_per_class.csv","False","","","PROJECT_SUPPORTED","appendix_per_class_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\metrics_per_class.csv"
"results/paper_stage2/rml2016a/cnn1d/seed_42/predictions_test.csv","False","","","PROJECT_SUPPORTED","paired_statistics_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\predictions_test.csv"
"results/paper_stage2/rml2016a/cnn1d/seed_42/confusion_overall.csv","False","","","PROJECT_SUPPORTED","appendix_confusion_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\confusion_overall.csv"
"results/paper_stage2/rml2016a/cnn1d/seed_42/confusion_low_snr.csv","False","","","PROJECT_SUPPORTED","low_snr_confusion_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\confusion_low_snr.csv"
"results/paper_stage2/rml2016a/cnn1d/seed_42/complexity.json","False","","","PROJECT_SUPPORTED","complexity_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\complexity.json"
"results/paper_stage2/rml2016a/cnn1d/seed_42/latency.json","False","","","CONTROLLED_LATENCY","controlled_cuda_latency_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\latency.json"
"results/paper_stage2/rml2016a/cnn1d/seed_42/training_summary.json","False","","","PROJECT_SUPPORTED","training_audit_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_42; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_42\training_summary.json"
"results/paper_stage2/rml2016a/cnn1d/seed_2025/config_resolved.yaml","False","","","PROJECT_SUPPORTED","run_reproducibility","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_2025; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_2025\config_resolved.yaml"
"results/paper_stage2/rml2016a/cnn1d/seed_2025/metrics_test.json","False","","","PROJECT_SUPPORTED","main_metric_source","SERVER_ROOT_UNREACHABLE; Stage 5A required artifact for cnn1d/seed_2025; preserve MCLDNN failed seeds if applicable","False","","","E:\ML_HomeWork\ML_Final_Assignment\T2_Custom_Topic\radioml-amc-stage1\results\paper_stage2\rml2016a\cnn1d\seed_2025\metrics_test.json"
